Test Case	Category	plcsharp	plfsharp	plv8	plpython	plpgsql	pljava	plperl	pllua	pltcl	plr
sumArrayInt	Array	0.400803	0.378002	0.449137	0.336188	0.315879	0.375325	0.409725	0.464384	0.387625	0.497559
sumArrayText	Array	0.436332	0.431104	0.518701	0.393638	0.372273	0.722827	0.47266	0.529052	0.487731	0.649898
returnBool	Bool	0.241228	0.241839	0.338899	0.240982	0.238344	0.301525	0.248649	0.326806	0.274225	0.383476
booleanAnd	Bool	0.309988	0.301343	0.415166	0.30564	0.297976	0.354919	0.315789	0.38705	0.394883	0.469115
booleanOr	Bool	0.30438	0.305023	0.403404	0.307313	0.297138	0.352542	0.317856	0.386163	0.395613	0.473588
booleanXor	Bool	0.304955	0.305611	0.418997	0.312534	0.300292	0.359702	0.319283	0.386539	0.435316	0.506061
retVarChar	Char	0.286186	0.273339	0.374301	0.286112	0.269343	0.435168	0.276388	0.354178	0.305101	0.466501
retConcatVarChar	Char	0.293797	0.29075	0.39674	0.316979	0.291725	0.493856	0.306032	0.379853	0.336259	0.524211
retConcatText	Char	0.301555	0.304047	0.416257	0.320105	0.292712	0.499288	0.305679	0.383613	0.342193	0.522351
retVarCharText	Char	0.300953	0.30499	0.427919	0.314997	0.294415	0.498332	0.304148	0.38718	0.344792	0.526678
retChar	Char	0.278387	0.279196	0.386159	0.284326	0.26117	0.436542	0.279413	0.359807	0.30073	0.391182
retConcatLetters	Char	0.297675	0.295484	0.401972	0.301355	0.286326	0.48275	0.296879	0.374453	0.326772	0.505288
retConcatChars	Char	0.29731	0.297062	0.417135	0.305451	0.289841	0.469825	0.296908	0.377619	0.328224	0.505613
retConcatVarChars-1	Char	0.300292	0.296959	0.409654	0.306026	0.287937	0.47332	0.299338	0.376938	0.332684	0.508832
retConcatVarChars-2	Char	0.302523	0.299637	0.411858	0.315727	0.28908	0.476843	0.305428	0.380672	0.331011	0.509711
retNonRegularEncoding-1	Char	0.283263	0.285356	0.392146	0.299083	0.26577	0.433687	0.285386	0.367155	0.306654	0.394064
retNonRegularEncoding-2	Char	0.298335	0.299342	0.433224	0.317554	0.27244	0.448663	0.298923	0.385013	0.317569	0.40836
retNonRegularEncoding-3	Char	0.286884	0.287471	0.39803	0.302258	0.267308	0.433904	0.287508	0.372126	0.308309	0.397717
retNonRegularEncoding-4	Char	0.316607	0.318059	0.446336	0.336713	0.283102	0.476253	0.313906	0.398479	0.329373	0.435933
returnReal	Float	0.231956	0.231384	0.328053	0.261684	0.24132	0.283552	0.269624	0.313146	0.268477	0.431094
sumReal	Float	0.359049	0.353773	0.456715	0.423531	0.350451	0.398303	0.426518	0.444886	0.454174	0.592866
returnDouble	Float	0.228624	0.22642	0.325408	0.274709	0.242602	0.280271	0.286849	0.326487	0.282101	0.451521
sumDouble	Float	0.374561	0.376074	0.482935	0.432994	0.368559	0.427863	0.464223	0.464736	0.56685	0.651758
maxSmallInt	Integers	0.226757	0.229924	0.326934	0.243378	0.228421	0.281328	0.234623	0.309373	0.26278	0.426127
