Test Case	plcsharp	plv8	plpython	plpgsql	pljava	plperl	pllua	pltcl	plr
sumArrayInt	0.012166	0.021359	0.011337	0.009472	0.027782	0.014422	0.013974	0.014043	0.017529
sumArrayText	0.01414	0.025325	0.01189	0.009751	0.0322	0.014265	0.016879	0.015793	0.024991
returnBool	0.005897	0.012102	0.006747	0.006308	0.015998	0.0074	0.009853	0.008899	0.012659
BooleanAnd	0.008808	0.017935	0.009171	0.008402	0.016071	0.009678	0.01199	0.013868	0.017494
BooleanOr	0.008639	0.015974	0.009183	0.00887	0.015937	0.008646	0.010854	0.012078	0.015759
BooleanXor	0.00752	0.016097	0.009384	0.008424	0.015364	0.009993	0.012219	0.015131	0.019055
retVarChar	0.010754	0.021448	0.011047	0.009153	0.038471	0.010012	0.013718	0.012326	0.021511
retConcatVarChar	0.011134	0.022427	0.012331	0.009503	0.027426	0.009783	0.013084	0.011991	0.027608
retConcatText	0.009374	0.018779	0.010115	0.008017	0.021659	0.009726	0.012336	0.011115	0.01839
retVarCharText	0.008341	0.019076	0.009453	0.007958	0.0199	0.008686	0.012146	0.011094	0.017933
retChar	0.011471	0.01556	0.008658	0.006989	0.017264	0.008076	0.011552	0.009822	0.013156
retConcatLetters	0.008486	0.016792	0.009132	0.007814	0.018511	0.008429	0.011135	0.009481	0.018059
retConcatChars	0.007527	0.015899	0.008727	0.007126	0.017538	0.007969	0.01103	0.009911	0.016653
retConcatVarChars	0.008235	0.016718	0.00909	0.00757	0.017432	0.009467	0.012484	0.010349	0.016859
retConcatVarChars(H.あ)	0.008465	0.017888	0.009749	0.007752	0.020182	0.008382	0.011991	0.01047	0.01723
retNonRegularEncoding(漢字)	0.008013	0.015761	0.009033	0.006904	0.016952	0.008333	0.011908	0.009847	0.013303
retNonRegularEncoding	0.008184	0.01686	0.00947	0.006963	0.016894	0.008318	0.012113	0.009737	0.013142
retNonRegularEncoding(ŁĄŻĘĆŃŚŹ)	0.007881	0.015648	0.009022	0.007028	0.014775	0.008115	0.011386	0.009688	0.012959
retNonRegularEncoding(Unicode)	0.008546	0.016593	0.009987	0.007303	0.015889	0.008838	0.012266	0.010257	0.01366
returnReal	0.00734	0.014478	0.00967	0.007803	0.017295	0.009816	0.010742	0.009843	0.017094
sumReal	0.011457	0.020115	0.014463	0.010966	0.018805	0.01591	0.015274	0.017909	0.024143
returnDouble	0.007274	0.013384	0.009251	0.007105	0.011658	0.009767	0.010101	0.009275	0.01711
sumDouble	0.009721	0.017004	0.011961	0.008974	0.015056	0.01379	0.013088	0.017007	0.020877
returnX	0.006913	0.013595	0.008079	0.006281	0.017054	0.009386	0.012073	0.007336	0.01368
inc2	0.006435	0.012816	0.007864	0.006136	0.011985	0.007656	0.010023	0.010761	0.016623
sum2	0.006411	0.013234	0.007943	0.006178	0.010805	0.007672	0.01009	0.010275	0.015528
sum3	0.006835	0.013797	0.008407	0.006551	0.011247	0.008644	0.011772	0.011647	0.016745
sum4	0.007415	0.014602	0.00892	0.007032	0.012771	0.009783	0.011776	0.013195	0.018725
maxSmallInt	0.005774	0.012221	0.007665	0.006524	0.01899	0.007281	0.010083	0.008665	0.016445
sum2SmallInt	0.011058	0.018867	0.012678	0.010644	0.018357	0.012487	0.014666	0.016743	0.020975
maxInteger	0.011284	0.014178	0.007571	0.00515	0.010079	0.006236	0.00897	0.00778	0.014986
sum2Integer	0.007385	0.014906	0.010138	0.008003	0.014998	0.009268	0.011526	0.012057	0.016055
maxBigInt	0.005765	0.012661	0.009349	0.006545	0.013328	0.009108	0.009106	0.007845	0.010697
sum2BigInt	0.008325	0.01547	0.0094	0.008282	0.014137	0.010498	0.011431	0.013572	-
mixedBigInt	0.008443	0.022752	0.012044	0.011923	0.015635	0.011464	0.013257	0.015903	-
mixedInt	0.011581	0.021803	0.013578	0.01223	0.0172	0.013538	0.015805	0.01829	0.023172
ageTest(Billy)	0.011074	0.023223	0.01247	0.010106	0.041299	0.010421	0.013317	0.01376	0.022532
ageTest(John)	0.008604	0.018734	0.009221	0.007584	0.017661	0.011318	0.011314	0.010896	0.020261
ageTest(Robson)	0.008259	0.019088	0.009369	0.00763	0.017844	0.009092	0.011329	0.010997	0.020616
returnNullBool	0.005511	0.011428	0.005764	0.005083	0.012449	0.005311	0.006933	0.007293	0.009712
BooleanNullAnd(true,null)	0.007152	0.013715	0.007516	0.006771	0.029546	0.007306	0.008888	0.0097	0.01347
BooleanNullAnd(null,true)	0.007189	0.013875	0.007547	0.006771	0.027518	0.007455	0.008798	0.009589	0.014087
BooleanNullAnd(false,null)	0.007299	0.01381	0.007528	0.006868	0.012032	0.007386	0.01055	0.009997	0.014117
BooleanNullAnd(null,false)	0.007212	0.014961	0.007746	0.007311	0.028226	0.007345	0.009146	0.010111	0.014805
BooleanNullAnd(null,null)	0.006945	0.013675	0.007342	0.006731	0.027298	0.006218	0.007989	0.008763	0.012858
BooleanNullOr(true,null)	0.007077	0.01371	0.007924	0.006773	0.013472	0.007865	0.010149	0.009814	0.013899
retuBooleanNullOr(null,true)rnBool	0.007257	0.014108	0.007774	0.007013	0.027503	0.008122	0.010525	0.009892	0.014171
BooleanNullOr(false,null)	0.007236	0.015273	0.008008	0.006886	0.027114	0.007972	0.009986	0.011492	0.01408
BooleanNullOr(null,false)	0.007341	0.014432	0.007987	0.00719	0.028598	0.008334	0.010994	0.010204	0.016357
